,Point,Latitude,Longitude,nom,code_pra
15588,6493,44.7896,1.3766,Bourianne,46159
15840,4494,43.7848,1.6914,Gaillacois,81151
15852,4637,43.8567,1.6905,Gaillacois,81151
15864,4638,43.8572,1.7899,Gaillacois,81151
15876,4639,43.8577,1.8893,Gaillacois,81151
15888,4781,43.9291,1.7892,Gaillacois,81151
15900,4782,43.9296,1.8888,Gaillacois,81151
15912,4783,43.93,1.9883,Gaillacois,81151
15924,4924,44.0011,1.7885,Gaillacois,81151
15936,4925,44.0015,1.8882,Gaillacois,81151
15948,4926,44.0019,1.9878,Gaillacois,81151
16200,1571,42.0394,9.4248,Littoral Corse,2B258
16212,1715,42.1044,9.5295,Littoral Corse,2B258
16224,1857,42.1824,9.4421,Littoral Corse,2B258
16236,2135,42.3746,8.6879,Littoral Corse,2B258
16248,2278,42.4462,8.6957,Littoral Corse,2B258
16260,2279,42.4404,8.7924,Littoral Corse,2B258
16272,2429,42.4685,9.4772,Littoral Corse,2B258
16284,2565,42.5835,8.8083,Littoral Corse,2B258
16296,2572,42.54,9.486,Littoral Corse,2B258
16308,2857,42.6896,9.4067,Littoral Corse,2B258
16560,15265,49.1047,6.6633,Warndt,57003
16572,15408,49.1765,6.6694,Warndt,57003
16584,15410,49.1683,6.8883,Warndt,57003
16668,12970,47.9804,5.8201,Plateau Lorrain Sud,88306
16680,12971,47.9772,5.9271,Plateau Lorrain Sud,88306
16692,13113,48.0523,5.8248,Plateau Lorrain Sud,88306
16704,13114,48.0491,5.932,Plateau Lorrain Sud,88306
16716,13256,48.1242,5.8296,Plateau Lorrain Sud,88306
16728,13257,48.1209,5.9369,Plateau Lorrain Sud,88306
16740,13258,48.1176,6.0442,Plateau Lorrain Sud,88306
16752,13259,48.1142,6.1515,Plateau Lorrain Sud,88306
16764,13400,48.1928,5.9418,Plateau Lorrain Sud,88306
16776,13401,48.1894,6.0493,Plateau Lorrain Sud,88306
16788,13402,48.186,6.1568,Plateau Lorrain Sud,88306
16800,13403,48.1825,6.2642,Plateau Lorrain Sud,88306
16812,13404,48.1788,6.3716,Plateau Lorrain Sud,88306
16824,13405,48.1751,6.479,Plateau Lorrain Sud,88306
16836,13406,48.1712,6.5864,Plateau Lorrain Sud,88306
16848,13543,48.2647,5.9468,Plateau Lorrain Sud,88306
